Environment,Algorithm,success_rate,avg_path_length,num_corners,min_collision_dist,inference_time_s,max_corner_deg,planning_cost
Env. (forest_a),IDDQN,1.0,14.0393,0,0.4703,0.42485,1,14.252
Env. (forest_a),DQN,1.0,13.7283,0,0.3918,0.26323,1,13.86
Env. (forest_b),IDDQN,0.0,,,,0.40468,,inf
Env. (forest_b),DQN,0.0,,,,0.17428,,inf
Env. (forest_c),IDDQN,1.0,16.083,0,0.4419,0.46452,1,16.315
Env. (forest_c),DQN,0.0,,,,0.33049,,inf
Env. (forest_d),IDDQN,1.0,7.7242,0,0.5748,0.166,1,7.807
Env. (forest_d),DQN,1.0,7.7961,0,0.568,0.10765,0,7.85
