Environment,Algorithm,success_rate,avg_path_length,num_corners,min_collision_dist,inference_time_s,max_corner_deg,planning_cost
Env. (forest_a),IDDQN,0.1,5.6311,0,0.4246,0.22709,1,57.446
Env. (forest_a),DQN,0.3,7.3655,0,0.4273,0.16748,1,24.831
Env. (forest_b),IDDQN,0.1,6.9089,0,0.437,0.19376,1,70.058
Env. (forest_b),DQN,0.0,,,,0.21308,,inf
Env. (forest_c),IDDQN,0.0,,,,0.30041,,inf
Env. (forest_c),DQN,0.0,,,,0.17514,,inf
Env. (forest_d),IDDQN,0.25,5.7152,0,0.4336,0.11799,0,23.097
Env. (forest_d),DQN,0.45,6.0338,0,0.4325,0.07678,0,13.494
